date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2006-01-04,sz.000651,10.3700,10.3700,10.3700,10.3700,10.3700,0,0.0000,3,,0,0.000000,11.406189,2.099725,0.332304,-6.123390,0
2006-01-05,sz.000651,11.4100,11.4100,11.2900,11.4100,10.3700,10409638,118755633.8500,3,4.893424,1,10.028930,12.550108,2.310305,0.365631,-6.737500,0
2006-01-06,sz.000651,11.7900,12.0600,11.6000,12.0100,11.4100,7409891,87654090.8800,3,3.483286,1,5.258549,13.210061,2.431794,0.384858,-7.091794,0
2006-01-09,sz.000651,12.0200,12.0500,11.7000,11.9300,12.0100,3262935,38566631.1100,3,1.533860,1,-0.666111,13.122067,2.415595,0.382294,-7.044555,0
2006-01-10,sz.000651,11.9500,11.9500,11.6900,11.7700,11.9300,4353048,51149988.6100,3,2.046307,1,-1.341155,12.946080,2.383199,0.377167,-6.950077,0
2006-01-11,sz.000651,11.9000,12.4500,11.7000,11.7700,11.7700,3113494,37511969.6900,3,1.463610,1,0.000000,12.946080,2.383199,0.377167,-6.950077,0
2006-01-12,sz.000651,11.9000,12.3200,11.8200,12.2200,11.7700,3278141,40043600.0000,3,1.541008,1,3.823278,13.441044,2.474315,0.391587,-7.215797,0
2006-01-13,sz.000651,12.2000,12.2000,11.8000,11.8900,12.2200,2105875,25219876.5300,3,0.989942,1,-2.700490,13.078070,2.407496,0.381012,-7.020936,0
2006-01-16,sz.000651,11.8900,12.1000,11.8000,11.8800,11.8900,2034207,24299318.9000,3,0.956252,1,-0.084106,13.067071,2.405471,0.380692,-7.015031,0
2006-01-17,sz.000651,11.8000,11.9500,11.7100,11.7600,11.8800,969767,11407921.7400,3,0.455874,1,-1.010100,12.935080,2.381174,0.376846,-6.944172,0
2006-01-18,sz.000651,11.7000,11.8900,11.6800,11.8000,11.7600,1920750,22616218.2700,3,0.902918,1,0.340136,12.979077,2.389273,0.378128,-6.967791,0
2006-01-19,sz.000651,11.8200,12.0300,11.7500,11.9100,11.8000,954304,11368645.8500,3,0.448605,1,0.932200,13.100069,2.411546,0.381653,-7.032745,0
2006-01-20,sz.000651,11.9100,12.0500,11.6500,12.0000,11.9100,2218495,26584488.8000,3,1.042883,1,0.755669,13.199062,2.429769,0.384537,-7.085890,0
2006-01-23,sz.000651,12.0000,12.1000,11.8100,11.8700,12.0000,1035500,12420326.2200,3,0.486774,1,-1.083334,13.056072,2.403447,0.380371,-7.009126,0
2006-01-24,sz.000651,11.8500,11.9800,11.5700,11.5900,11.8700,1574177,18296590.7400,3,0.739998,1,-2.358886,12.748094,2.346752,0.371399,-6.843788,0
2006-01-25,sz.000651,11.6000,11.7100,11.3000,11.4100,11.5900,2308996,26434856.4100,3,1.085427,1,-1.553066,12.550108,2.310305,0.365631,-6.737500,0
2006-02-06,sz.000651,11.5800,11.8400,11.4500,11.7800,11.4100,1113094,13028235.7100,3,0.523250,1,3.242769,12.957079,2.385223,0.377487,-6.955982,0
